CMDLINE /Users/kanavanand/venv/bin/python3 main.py
MEM 0.265625 1557307079.0882
MEM 13.222656 1557307079.1989
MEM 31.457031 1557307079.3056
MEM 46.121094 1557307079.4152
MEM 54.234375 1557307079.5245
MEM 64.980469 1557307079.6318
MEM 72.542969 1557307079.7393
MEM 79.027344 1557307079.8484
MEM 84.507812 1557307079.9541
MEM 91.824219 1557307080.0628
MEM 94.730469 1557307080.1740
MEM 94.730469 1557307080.2854
MEM 94.730469 1557307080.3982
MEM 94.730469 1557307080.5106
MEM 94.730469 1557307080.6240
MEM 94.730469 1557307080.7355
MEM 94.730469 1557307080.8464
MEM 94.730469 1557307080.9595
MEM 94.730469 1557307081.0726
MEM 94.730469 1557307081.1832
MEM 94.730469 1557307081.2945
MEM 94.730469 1557307081.4075
MEM 94.730469 1557307081.5173
MEM 94.730469 1557307081.6298
MEM 94.730469 1557307081.7390
MEM 94.730469 1557307081.8522
MEM 94.730469 1557307081.9651
MEM 94.730469 1557307082.0766
MEM 94.730469 1557307082.1863
MEM 94.730469 1557307082.2966
MEM 94.730469 1557307082.4058
MEM 94.730469 1557307082.5165
MEM 94.730469 1557307082.6296
MEM 94.730469 1557307082.7401
MEM 94.730469 1557307082.8481
MEM 94.730469 1557307082.9626
MEM 94.730469 1557307083.0723
MEM 94.730469 1557307083.1833
MEM 94.730469 1557307083.2913
MEM 94.730469 1557307083.4023
MEM 94.730469 1557307083.5123
MEM 94.730469 1557307083.6243
MEM 94.730469 1557307083.7364
MEM 94.730469 1557307083.8475
MEM 94.730469 1557307083.9609
MEM 94.730469 1557307084.0737
MEM 94.730469 1557307084.1863
MEM 94.730469 1557307084.2980
MEM 94.730469 1557307084.4098
MEM 94.730469 1557307084.5219
MEM 94.730469 1557307084.6336
MEM 94.730469 1557307084.7464
MEM 94.730469 1557307084.8564
MEM 94.730469 1557307084.9678
MEM 94.730469 1557307085.0821
MEM 94.730469 1557307085.1919
MEM 94.730469 1557307085.3047
MEM 94.730469 1557307085.4168
MEM 94.730469 1557307085.5270
MEM 94.730469 1557307085.6366
MEM 94.730469 1557307085.7527
MEM 94.730469 1557307085.8622
MEM 94.730469 1557307085.9711
MEM 94.730469 1557307086.0813
MEM 94.730469 1557307086.1915
MEM 94.730469 1557307086.3050
MEM 94.730469 1557307086.4151
MEM 94.730469 1557307086.5297
MEM 94.730469 1557307086.6416
MEM 94.730469 1557307086.7509
MEM 94.730469 1557307086.8618
MEM 94.730469 1557307086.9748
MEM 94.730469 1557307087.0873
MEM 94.730469 1557307087.1977
MEM 94.730469 1557307087.3100
MEM 94.730469 1557307087.4229
MEM 94.730469 1557307087.5336
MEM 94.730469 1557307087.6457
MEM 94.730469 1557307087.7621
MEM 94.730469 1557307087.8734
MEM 94.730469 1557307087.9866
MEM 94.730469 1557307088.0997
MEM 94.730469 1557307088.2073
MEM 94.730469 1557307088.3208
MEM 94.730469 1557307088.4298
MEM 94.730469 1557307088.5429
MEM 94.730469 1557307088.6540
MEM 94.730469 1557307088.7690
MEM 94.730469 1557307088.8776
MEM 94.730469 1557307088.9884
MEM 94.730469 1557307089.0988
MEM 94.730469 1557307089.2092
MEM 94.730469 1557307089.3212
MEM 94.730469 1557307089.4327
MEM 94.730469 1557307089.5455
MEM 94.730469 1557307089.6595
MEM 94.730469 1557307089.7691
MEM 94.730469 1557307089.8837
MEM 94.730469 1557307089.9951
MEM 94.730469 1557307090.1032
MEM 94.730469 1557307090.2151
MEM 94.730469 1557307090.3282
MEM 94.730469 1557307090.4371
MEM 94.730469 1557307090.5502
MEM 94.730469 1557307090.6632
MEM 94.730469 1557307090.7719
MEM 94.730469 1557307090.8827
MEM 94.730469 1557307090.9961
MEM 94.730469 1557307091.1092
MEM 94.730469 1557307091.2207
MEM 94.730469 1557307091.3342
MEM 94.730469 1557307091.4435
MEM 94.730469 1557307091.5551
MEM 94.730469 1557307091.6681
MEM 94.730469 1557307091.7813
MEM 94.730469 1557307091.8934
MEM 94.730469 1557307092.0025
MEM 94.730469 1557307092.1214
MEM 94.730469 1557307092.2346
MEM 94.730469 1557307092.3445
MEM 94.730469 1557307092.4554
MEM 94.730469 1557307092.5653
MEM 94.730469 1557307092.6775
MEM 94.730469 1557307092.7904
MEM 94.730469 1557307092.9033
MEM 94.730469 1557307093.0150
MEM 94.730469 1557307093.1252
MEM 94.730469 1557307093.2383
MEM 94.730469 1557307093.3463
MEM 94.730469 1557307093.4551
MEM 94.730469 1557307093.5639
MEM 94.730469 1557307093.6722
MEM 94.730469 1557307093.7781
MEM 94.730469 1557307093.8872
MEM 94.730469 1557307093.9992
MEM 94.730469 1557307094.1080
MEM 94.730469 1557307094.2215
MEM 94.730469 1557307094.3384
MEM 94.730469 1557307094.4514
MEM 94.730469 1557307094.5624
MEM 94.730469 1557307094.6742
MEM 94.730469 1557307094.7835
MEM 94.730469 1557307094.8986
MEM 94.730469 1557307095.0107
MEM 94.730469 1557307095.1235
MEM 94.730469 1557307095.2339
MEM 94.730469 1557307095.3465
MEM 94.730469 1557307095.4562
MEM 94.730469 1557307095.5686
MEM 94.730469 1557307095.6804
MEM 94.730469 1557307095.7916
MEM 94.730469 1557307095.8974
MEM 94.730469 1557307096.0092
MEM 94.730469 1557307096.1186
MEM 94.730469 1557307096.2312
MEM 94.730469 1557307096.3399
MEM 94.730469 1557307096.4515
MEM 94.730469 1557307096.5635
MEM 94.730469 1557307096.6777
MEM 94.730469 1557307096.7874
MEM 94.730469 1557307096.9003
MEM 94.730469 1557307097.0112
MEM 94.730469 1557307097.1222
MEM 94.730469 1557307097.2352
MEM 94.730469 1557307097.3483
MEM 94.730469 1557307097.4613
MEM 94.730469 1557307097.5743
MEM 94.730469 1557307097.6828
