id,user_id,params,accuracy,time_taken
1,BC7935A,"{""epochs"": {""value"": 100.0, ""comment"": 4, ""comment_other"": ""To see how long one epoch takes""}, ""batchSize"": {""value"": 30.0, ""comment"": 4, ""comment_other"": """"}, ""lossFunction"": {""value"": ""cross_entropy"", ""comment"": 3, ""comment_other"": """"}, ""optimizer"": {""value"": ""adam_optimizer"", ""comment"": 3, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.0001, ""comment"": 4, ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0.0, ""comment"": 4, ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""BC7935A""}",0.772,1043.76
2,6B392DA,"{""epochs"": {""value"": 150.0, ""comment"": 1, ""comment_other"": """"}, ""batchSize"": {""value"": 25.0, ""comment"": 2, ""comment_other"": """"}, ""lossFunction"": {""value"": ""cross_entropy"", ""comment"": 3, ""comment_other"": """"}, ""optimizer"": {""value"": ""averaged_sgd"", ""comment"": 3, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.001, ""comment"": 1, ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""6B392DA""}",0.754,1527.99
3,8960B0A,"{""epochs"": {""value"": 40.0, ""comment"": """", ""comment_other"": """"}, ""batchSize"": {""value"": 25.0, ""comment"": """", ""comment_other"": """"}, ""lossFunction"": {""value"": ""mean_squared_loss"", ""comment"": """", ""comment_other"": """"}, ""optimizer"": {""value"": ""adam_optimizer"", ""comment"": """", ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 1e-05, ""comment"": """", ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""8960B0A""}",0.618,504.7
4,8960B0A,"{""epochs"": {""value"": 40.0, ""comment"": """", ""comment_other"": """"}, ""batchSize"": {""value"": 25.0, ""comment"": """", ""comment_other"": """"}, ""lossFunction"": {""value"": ""mean_squared_loss"", ""comment"": """", ""comment_other"": """"}, ""optimizer"": {""value"": ""adam_optimizer"", ""comment"": """", ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 1e-05, ""comment"": """", ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""8960B0A""}",0.63,502.074
5,02AECEA,"{""epochs"": {""value"": 25.0, ""comment"": 4, ""comment_other"": """"}, ""batchSize"": {""value"": 100.0, ""comment"": 4, ""comment_other"": ""trying to get the runtime down without too much loss of performance""}, ""lossFunction"": {""value"": ""mean_squared_loss"", ""comment"": 4, ""comment_other"": """"}, ""optimizer"": {""value"": ""adam_optimizer"", ""comment"": 4, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.001, ""comment"": 4, ""comment_other"": ""trying a few orders of magnitude""}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": 4, ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""02AECEA""}",0.716,131.277
6,9950E8A,"{""epochs"": {""value"": 10.0, ""comment"": 1, ""comment_other"": """"}, ""batchSize"": {""value"": 200.0, ""comment"": 4, ""comment_other"": """"}, ""lossFunction"": {""value"": ""cross_entropy"", ""comment"": 4, ""comment_other"": """"}, ""optimizer"": {""value"": ""adam_optimizer"", ""comment"": 3, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.001, ""comment"": """", ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""9950E8A""}",0.354,50.1021
7,9950E8A,"{""epochs"": {""value"": 90.0, ""comment"": 4, ""comment_other"": """"}, ""batchSize"": {""value"": 600.0, ""comment"": 4, ""comment_other"": """"}, ""lossFunction"": {""value"": ""cross_entropy"", ""comment"": 4, ""comment_other"": """"}, ""optimizer"": {""value"": ""adam_optimizer"", ""comment"": 3, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.001, ""comment"": """", ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""9950E8A""}",0.68,435.141
8,B65339A,"{""epochs"": {""value"": 100.0, ""comment"": 4, ""comment_other"": """"}, ""batchSize"": {""value"": 100.0, ""comment"": 4, ""comment_other"": ""want to check if increasing the training size improve""}, ""lossFunction"": {""value"": ""mean_squared_loss"", ""comment"": 4, ""comment_other"": """"}, ""optimizer"": {""value"": ""rms_prop"", ""comment"": 4, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.001, ""comment"": 4, ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""B65339A""}",0.592,520.916
9,6EBC93A,"{""epochs"": {""value"": 6.0, ""comment"": 4, ""comment_other"": """"}, ""batchSize"": {""value"": 1.0, ""comment"": 4, ""comment_other"": """"}, ""lossFunction"": {""value"": ""mean_squared_loss"", ""comment"": 4, ""comment_other"": """"}, ""optimizer"": {""value"": ""ada_grad"", ""comment"": 4, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.001, ""comment"": """", ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""6EBC93A""}",0.594,1451.71
10,6EBC93A,"{""epochs"": {""value"": 6.0, ""comment"": 4, ""comment_other"": """"}, ""batchSize"": {""value"": 1.0, ""comment"": 4, ""comment_other"": """"}, ""lossFunction"": {""value"": ""mean_squared_loss"", ""comment"": 4, ""comment_other"": """"}, ""optimizer"": {""value"": ""ada_grad"", ""comment"": 4, ""comment_other"": """"}, ""finalSubmission"": {""value"": true}, ""learningRate"": {""value"": 0.001, ""comment"": """", ""comment_other"": """"}, ""epsilon"": {""value"": 1e-06, ""comment"": """", ""comment_other"": """"}, ""beta1"": {""value"": 0.9, ""comment_other"": """", ""comment"": """"}, ""beta2"": {""value"": 0.999, ""comment_other"": """", ""comment"": """"}, ""weightDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""rho"": {""value"": 0.9, ""comment"": """", ""comment_other"": """"}, ""learningRateDecay"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""initialAccumulator"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""alpha"": {""value"": 0.99, ""comment"": """", ""comment_other"": """"}, ""lambda"": {""value"": 0.0001, ""comment"": """", ""comment_other"": """"}, ""momentum"": {""value"": 0, ""comment"": """", ""comment_other"": """"}, ""user_id"": ""6EBC93A""}",0.574,1473.23
